Tick PD1 PD2 PD3
0050 183 159 019
0051 183 146 033
0052 183 131 054
0053 183 112 079
0054 184 091 108
0055 184 070 135
0056 184 054 157
0057 184 039 172
0058 184 027 181
0059 184 017 187
0060 185 010 189
0061 185 005 191
0062 185 002 193
0063 185 000 194
0064 186 000 195
0065 186 000 195
0066 186 000 195
0067 186 000 194
0068 187 000 194
0069 187 000 194
0070 188 000 194
0071 188 000 193
0072 188 000 193
0073 188 000 192
0074 189 000 192
0075 189 000 192
0076 189 000 192
0077 189 000 192
0078 190 000 192
0079 190 000 192
0080 190 000 192
0081 191 000 192
0082 191 000 192
0083 191 000 193
0084 192 000 193
0085 192 000 194
0086 193 000 194
0087 193 000 193
0088 193 000 192
0089 194 000 191
0090 194 000 189
0091 194 000 186
0092 194 000 182
0093 194 000 175
0094 195 000 164
0095 195 000 150
0096 195 000 131
0097 195 001 109
0098 194 003 087
0099 194 005 066
0100 194 009 046
0101 193 017 029
0102 192 029 015
0103 191 047 007
0104 189 067 004
0105 188 089 003
0106 186 110 002
0107 183 128 002
0108 179 144 002
0109 173 158 003
0110 166 168 003
0111 156 176 004
0112 145 181 004
0113 131 184 005
0114 116 186 005
0115 100 188 005
0116 084 189 005
0117 070 190 005
0118 056 190 005
0119 044 191 005
0120 033 191 005
0121 025 191 004
0122 018 191 004
0123 012 191 004
0124 008 191 003
0125 005 190 003
0126 004 190 002
0127 002 190 002
0128 001 190 001
0129 000 189 001
0130 000 189 001
0131 000 188 000
0132 000 187 000
0133 000 187 000
0134 000 186 000
0135 000 186 001
0136 000 185 001
0137 000 185 002
0138 000 185 002
0139 000 184 003
0140 000 184 004
0141 000 183 005
0142 000 183 006
0143 000 183 008
0144 000 183 010
0145 000 183 015
0146 000 182 022
0147 000 182 032
0148 000 182 044
0149 000 182 060
0150 000 182 078
0151 000 181 097
0152 000 181 117
0153 000 181 136
0154 001 180 154
0155 002 180 168
0156 005 180 176
0157 009 180 180
0158 015 180 183
0159 023 180 184
0160 033 180 185
0161 045 180 186
0162 058 179 187
0163 072 179 188
0164 087 179 188
0165 102 179 188
0166 118 180 188
0167 131 180 188
0168 144 180 188
0169 154 180 188
0170 164 180 188
0171 172 179 188
0172 178 179 188
0173 183 179 188
0174 187 179 188
0175 189 179 187
0176 191 179 187
0177 193 179 186
0178 195 179 186
0179 196 179 185
0180 197 179 185
0181 198 179 184
0182 199 179 183
0183 199 179 183
0184 200 179 182
0185 200 180 181
0186 200 180 181
0187 200 180 180
0188 200 180 180
0189 200 180 179
0190 200 180 179
0191 200 180 179
0192 199 180 179
0193 199 179 179
0194 199 180 180
0195 198 180 181
0196 198 180 182
0197 198 180 182
0198 198 180 183
0199 198 180 183
0200 198 180 184
0201 198 180 184
0202 198 180 185
0203 197 180 185
0204 197 180 185
0205 197 180 185
0206 197 180 185
0207 197 180 185
0208 198 180 185
0209 198 180 184
0210 198 180 184
0211 198 180 184
0212 198 180 184
0213 198 180 184
0214 198 180 183
0215 198 180 183
0216 198 180 183
0217 198 180 184
0218 197 180 184
0219 197 180 185
0220 197 180 186
0221 197 180 187
0222 196 180 188
0223 196 181 190
0224 195 181 191
0225 194 181 192
0226 193 181 193
0227 192 181 194
0228 191 181 195
0229 190 181 195
0230 188 181 195
0231 186 181 195
0232 183 180 193
0233 179 180 191
0234 174 180 189
