Tick PD1 PD2 PD3
0050 183 204 001
0051 183 203 000
0052 182 203 000
0053 181 203 000
0054 181 204 000
0055 181 204 000
0056 181 203 000
0057 181 203 000
0058 181 203 001
0059 182 204 002
0060 183 204 003
0061 183 203 006
0062 183 203 008
0063 183 203 012
0064 183 203 016
0065 183 203 020
0066 183 203 025
0067 183 203 030
0068 183 204 034
0069 183 203 039
0070 183 203 043
0071 183 203 047
0072 183 204 050
0073 183 203 053
0074 183 204 056
0075 183 204 058
0076 183 204 060
0077 183 204 062
0078 183 204 063
0079 183 204 065
0080 183 204 066
0081 183 204 066
0082 183 204 067
0083 183 204 067
0084 183 204 067
0085 183 204 067
0086 183 204 067
0087 183 204 067
0088 184 204 067
0089 183 204 067
0090 183 204 066
0091 184 204 066
0092 183 204 065
0093 184 204 064
0094 183 203 064
0095 184 204 063
0096 184 203 063
0097 184 204 062
0098 184 204 062
0099 184 203 061
0100 184 204 060
0101 184 204 060
0102 184 204 059
0103 184 204 059
0104 184 203 059
0105 184 203 059
0106 184 203 058
0107 184 203 058
0108 184 203 058
0109 184 204 058
0110 184 203 058
0111 184 204 058
0112 184 204 058
0113 184 204 058
0114 184 203 058
0115 184 204 058
0116 184 203 059
0117 184 204 059
0118 184 204 059
0119 184 203 059
0120 184 204 059
0121 184 204 059
0122 184 203 059
0123 184 204 059
0124 185 203 059
0125 184 204 059
0126 185 204 059
0127 185 204 059
0128 185 204 059
0129 185 204 059
0130 185 204 059
0131 185 203 059
0132 185 203 059
0133 185 204 059
0134 185 204 059
0135 185 203 059
0136 185 203 059
0137 185 204 059
0138 185 203 059
0139 185 203 059
0140 185 204 059
0141 185 204 059
0142 185 204 059
0143 185 203 059
0144 185 203 061
0145 185 204 063
0146 185 204 064
0147 185 204 065
0148 185 203 066
0149 185 204 067
0150 185 204 068
0151 185 204 069
0152 185 204 071
0153 185 204 072
0154 185 203 073
0155 185 203 074
0156 185 203 076
0157 185 204 077
0158 185 204 078
0159 185 204 078
0160 185 203 079
0161 185 204 080
0162 185 203 080
0163 185 204 080
0164 185 204 081
0165 185 204 081
0166 185 204 081
0167 185 204 082
0168 185 204 082
0169 185 203 082
0170 186 203 082
0171 186 203 082
0172 185 204 082
0173 186 203 083
0174 185 203 083
0175 185 203 083
0176 186 203 083
0177 186 204 083
0178 186 203 083
0179 186 203 083
0180 186 204 083
0181 186 203 082
0182 186 204 082
0183 186 204 082
0184 186 204 082
0185 186 203 082
0186 186 204 081
0187 186 204 081
0188 186 204 081
0189 186 204 080
0190 186 204 080
0191 186 204 080
0192 186 204 079
0193 187 204 079
0194 187 204 078
0195 187 204 077
0196 187 204 076
0197 187 203 075
0198 187 203 074
0199 187 203 072
0200 187 203 071
0201 187 204 070
0202 187 204 068
0203 187 203 065
0204 188 204 063
0205 188 204 061
0206 188 204 058
0207 188 204 056
0208 188 203 054
0209 188 203 051
0210 188 204 049
0211 188 204 047
0212 188 203 045
0213 188 204 042
0214 188 204 040
0215 188 203 038
0216 188 204 035
0217 188 204 033
0218 189 204 031
0219 188 203 029
0220 189 204 027
0221 189 204 026
0222 188 203 024
0223 189 203 022
0224 189 203 021
0225 189 203 020
0226 189 204 018
0227 189 203 017
0228 189 203 016
0229 189 204 015
0230 189 203 014
0231 189 204 013
0232 189 204 012
0233 189 203 011
0234 189 203 011
0235 189 204 010
0236 189 203 009
0237 189 204 008
