Tick PD1 PD2 PD3
0050 028 176 062
0051 037 177 071
0052 046 177 078
0053 055 177 083
0054 063 177 086
0055 071 177 088
0056 073 177 089
0057 075 177 090
0058 081 177 090
0059 085 178 089
0060 088 178 089
0061 092 178 088
0062 094 178 087
0063 096 178 085
0064 098 178 084
0065 099 178 083
0066 099 178 082
0067 099 178 082
0068 099 178 081
0069 099 178 081
0070 099 178 081
0071 099 178 081
0072 099 178 081
0073 100 178 081
0074 102 178 081
0075 106 178 081
0076 110 178 081
0077 114 178 081
0078 116 178 081
0079 119 178 081
0080 121 178 081
0081 125 178 081
0082 129 179 081
0083 133 179 081
0084 136 178 081
0085 139 179 081
0086 142 179 081
0087 144 178 081
0088 148 179 081
0089 151 179 081
0090 154 179 080
0091 156 179 080
0092 158 179 079
0093 159 179 078
0094 161 179 077
0095 163 179 077
0096 164 179 075
0097 167 179 074
0098 169 179 071
0099 170 179 069
0100 172 179 066
0101 174 180 063
0102 175 180 060
0103 176 180 058
0104 177 180 055
0105 178 180 053
0106 179 180 050
0107 180 180 047
0108 181 180 044
0109 182 180 041
0110 182 180 039
0111 183 180 036
0112 183 180 033
0113 184 181 031
0114 184 181 028
0115 184 181 026
0116 184 181 024
0117 185 181 022
0118 185 181 019
0119 185 181 016
0120 186 181 014
0121 186 181 012
0122 186 182 010
0123 187 182 009
0124 187 181 008
0125 187 182 007
0126 188 182 005
0127 188 182 004
0128 188 182 003
0129 188 182 003
0130 189 182 002
0131 189 182 001
0132 189 182 001
0133 189 183 001
0134 189 183 001
0135 189 183 000
0136 190 183 000
0137 190 183 000
0138 190 183 000
0139 190 183 000
0140 190 183 000
0141 190 183 000
0142 190 183 000
0143 190 183 000
0144 190 183 000
0145 190 183 000
0146 190 184 000
0147 190 184 000
0148 190 184 000
0149 190 184 000
0150 190 184 000
0151 190 184 000
0152 190 184 000
0153 190 184 000
0154 190 184 000
0155 190 184 000
0156 190 184 000
0157 190 184 000
0158 190 184 000
0159 190 184 000
0160 190 184 000
0161 190 184 000
0162 190 184 000
0163 190 184 001
0164 190 185 001
0165 189 185 001
0166 189 185 001
0167 189 185 002
0168 189 185 002
0169 189 185 002
0170 189 185 003
0171 189 185 003
0172 188 185 004
0173 188 185 005
0174 188 185 005
0175 188 185 006
0176 187 185 007
0177 187 185 008
0178 187 185 010
0179 186 185 011
0180 186 185 013
0181 186 185 015
0182 185 185 017
0183 185 185 019
0184 184 185 020
0185 184 185 023
0186 183 185 025
0187 183 185 027
0188 182 185 029
0189 182 185 031
0190 181 185 034
0191 180 185 036
0192 179 185 038
0193 178 185 041
0194 177 185 044
0195 176 185 047
